@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric

@data
2389,'2020/01/27 14:16:10:377',25,58,52,0.894236,0.510485,0.687458,0.979594,0.480624,0.708373
2390,'2020/01/27 14:16:10:419',25,58,52,0.894236,0.510485,0.687458,0.979594,0.480624,0.708373
2391,'2020/01/27 14:16:10:459',25,57,54,0.894236,0.510485,0.687458,0.979594,0.480624,0.708373
2392,'2020/01/27 14:16:10:459',25,56,55,0.894236,0.510485,0.687458,0.979594,0.480624,0.708373
2393,'2020/01/27 14:16:10:459',25,56,56,0.894236,0.510485,0.687458,0.979594,0.480624,0.708373
2394,'2020/01/27 14:16:10:459',25,55,57,0.894236,0.510485,0.687458,0.979594,0.480624,0.708373
2395,'2020/01/27 14:16:10:498',25,54,59,0.894236,0.510485,0.687458,0.979594,0.480624,0.708373
2396,'2020/01/27 14:16:10:498',25,54,60,0.894236,0.510485,0.687458,0.979594,0.480624,0.708373
2397,'2020/01/27 14:16:10:498',25,54,61,0.894236,0.510485,0.687458,0.979594,0.480624,0.708373
2398,'2020/01/27 14:16:10:538',25,54,62,0.894236,0.510485,0.687458,0.979594,0.480624,0.708373
2399,'2020/01/27 14:16:10:578',25,54,61,0.894236,0.510485,0.687458,0.979594,0.480624,0.708373
2400,'2020/01/27 14:16:10:619',25,54,59,0.894236,0.510485,0.687458,0.979594,0.480624,0.708373
2401,'2020/01/27 14:16:10:619',25,54,56,0.894236,0.510485,0.687458,0.979594,0.480624,0.708373
2402,'2020/01/27 14:16:10:619',25,55,54,0.894236,0.510485,0.687458,0.979594,0.480624,0.708373
2403,'2020/01/27 14:16:10:619',25,55,53,0.894236,0.510485,0.687458,0.979594,0.480624,0.708373
2404,'2020/01/27 14:16:10:660',25,54,53,0.894236,0.510485,0.687458,0.979594,0.480624,0.708373
2405,'2020/01/27 14:16:10:698',25,54,53,0.894236,0.510485,0.687458,0.979594,0.480624,0.708373
2406,'2020/01/27 14:16:10:698',25,54,53,0.894236,0.510485,0.687458,0.979594,0.480624,0.708373
2407,'2020/01/27 14:16:10:698',25,54,54,0.894236,0.510485,0.687458,0.979594,0.480624,0.708373
2408,'2020/01/27 14:16:10:738',25,54,55,0.894236,0.510485,0.687458,0.979594,0.480624,0.708373
2409,'2020/01/27 14:16:10:739',25,54,55,0.894236,0.510485,0.687458,0.979594,0.480624,0.708373
2410,'2020/01/27 14:16:10:739',25,54,56,0.894236,0.510485,0.687458,0.979594,0.480624,0.708373
2411,'2020/01/27 14:16:10:739',25,54,56,0.894236,0.510485,0.687458,0.979594,0.480624,0.708373
2412,'2020/01/27 14:16:10:778',25,54,56,0.894236,0.510485,0.687458,0.979594,0.480624,0.708373
2413,'2020/01/27 14:16:10:816',25,54,56,0.894236,0.510485,0.687458,0.979594,0.480624,0.708373
2414,'2020/01/27 14:16:10:816',25,55,55,0.894236,0.510485,0.687458,0.979594,0.480624,0.708373
