@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute test-1 {0,1,2,3,4,5}

@data
264,'2020/01/30 13:09:06:384',9,0.4,0.4,0.4,0.4,0.4,1
265,'2020/01/30 13:09:06:412',9,0.4,0.4,0.4,0.4,0.4,1
266,'2020/01/30 13:09:06:438',9,0.4,0.4,0.4,0.4,0.4,1
267,'2020/01/30 13:09:06:454',9,0.4,0.4,0.4,0.4,0.4,1
268,'2020/01/30 13:09:06:474',9,0.4,0.4,0.4,0.4,0.4,1
269,'2020/01/30 13:09:06:489',9,0.4,0.4,0.4,0.4,0.4,1
270,'2020/01/30 13:09:06:506',9,0.388235,0.388235,0.388235,0.388235,0.388235,1
271,'2020/01/30 13:09:06:522',9,0.388235,0.388235,0.388235,0.388235,0.388235,1
272,'2020/01/30 13:09:06:540',9,0.388235,0.388235,0.388235,0.388235,0.388235,1
273,'2020/01/30 13:09:06:556',9,0.388235,0.388235,0.388235,0.388235,0.388235,1
274,'2020/01/30 13:09:06:582',9,0.388235,0.388235,0.388235,0.388235,0.388235,1
275,'2020/01/30 13:09:06:597',9,0.396078,0.396078,0.396078,0.396078,0.396078,1
276,'2020/01/30 13:09:06:612',9,0.396078,0.396078,0.396078,0.396078,0.396078,1
277,'2020/01/30 13:09:06:633',9,0.396078,0.396078,0.396078,0.396078,0.396078,1
278,'2020/01/30 13:09:06:647',9,0.396078,0.396078,0.396078,0.396078,0.396078,1
279,'2020/01/30 13:09:06:662',9,0.396078,0.396078,0.396078,0.396078,0.396078,1
280,'2020/01/30 13:09:06:679',9,0.396078,0.396078,0.396078,0.396078,0.396078,1
281,'2020/01/30 13:09:06:699',9,0.396078,0.396078,0.396078,0.396078,0.396078,1
282,'2020/01/30 13:09:06:713',9,0.396078,0.396078,0.396078,0.396078,0.396078,1
283,'2020/01/30 13:09:06:734',9,0.396078,0.396078,0.396078,0.396078,0.396078,1
284,'2020/01/30 13:09:06:746',9,0.396078,0.396078,0.396078,0.396078,0.396078,1
285,'2020/01/30 13:09:06:765',9,0.4,0.4,0.4,0.4,0.4,1
286,'2020/01/30 13:09:06:780',9,0.4,0.4,0.4,0.4,0.4,1
287,'2020/01/30 13:09:06:795',9,0.4,0.4,0.4,0.4,0.4,1
288,'2020/01/30 13:09:06:812',9,0.4,0.4,0.4,0.4,0.4,1
289,'2020/01/30 13:09:06:828',9,0.4,0.4,0.4,0.4,0.4,1
290,'2020/01/30 13:09:06:845',9,0.4,0.4,0.4,0.4,0.4,1
291,'2020/01/30 13:09:06:862',9,0.403922,0.403922,0.403922,0.403922,0.403922,1
292,'2020/01/30 13:09:06:881',9,0.403922,0.403922,0.403922,0.403922,0.403922,1
293,'2020/01/30 13:09:06:898',9,0.4,0.4,0.4,0.4,0.4,1
294,'2020/01/30 13:09:08:059',9,0.396078,0.396078,0.396078,0.396078,0.396078,1
295,'2020/01/30 13:09:08:079',9,0.392157,0.392157,0.392157,0.392157,0.392157,1
296,'2020/01/30 13:09:08:094',9,0.392157,0.392157,0.392157,0.392157,0.392157,1
297,'2020/01/30 13:09:08:110',9,0.392157,0.392157,0.392157,0.392157,0.392157,1
298,'2020/01/30 13:09:08:136',9,0.396078,0.396078,0.396078,0.396078,0.396078,1
